업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
체육도장업,30102-2016-000011,행복한동행 전의 태권도장,30004,세종특별자치시 전의면,세종특별자치시 전의면 동교동촌2길 2 2층,318,,365,철근콘크리트조,일반주거지역,영업중,2016-09-19,,해결,2016-09-19,실내,,,1,바닥면적 [제곱미터] : 162,Y,태권도,2022-11-30
체육도장업,30102-2016-000012,세종제일검도관,30150,세종특별자치시 보람동 751 골드타워 ,세종특별자치시 호려울로 51 골드타워 507508호 (보람동),263,176,,경량철골조,일반주거지역,영업중,2016-10-05,2021-01-07,해결,2021-01-07,실외,,1,,,Y,검도,2022-11-30
체육도장업,30102-2016-000013,무궁화태권도장 세종본관 2교육관,30151,세종특별자치시 소담동 236 ,세종특별자치시 시청대로 236 B동 1층 130131132호 (소담동 새샘마을3단지),,167,1897,철근콘크리트조,일반주거지역,영업중,2016-10-06,2020-10-05,해결,2020-10-05,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2016-000014,휘영찬 태권도장,30100,세종특별자치시 아름동,세종특별자치시 아름서1길 13-3 501502호 (아름동 영토프라자),,,,,,영업중,2016-11-07,2018-09-17,해결,2018-09-17,실내,,,1,바닥면적 [제곱미터] : 257,Y,태권도,2022-11-30
체육도장업,30102-2016-000016,국가대표 부강 태권도,30076,세종특별자치시 부강면 부강리 431-5 ,세종특별자치시 부강면 부강로 33,434,434,1678,철골콘크리트조,일반주거지역,영업중,2016-12-22,2018-05-18,해결,2018-05-21,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2017-000002,용인대 꿈누리 태권도,30150,세종특별자치시 보람동 700-76 ,세종특별자치시 남세종로 462 6층 601호 (보람동 위너스타워),,191,,철골콘크리트조,일반상업지역,영업중,2017-02-10,,해결,2017-02-10,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2017-000003,US태권도,30107,세종특별자치시 어진동 608 세종일번가 ,세종특별자치시 도움8로 81 세종일번가 A동 410호 (어진동),,105,,,,영업중,2017-02-17,2019-01-15,해결,2019-01-15,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2017-000004,MTA 코리아 태권도장,30150,세종특별자치시 소담동 37-8 ,세종특별자치시 소담1로 12 (소담동 지엘플렉스1),,219,10678,철골콘크리트조,일반상업지역,영업중,2017-02-18,2020-04-20,해결,2020-04-20,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000005,용인대 대덕 태권도(소담관),30150,세종특별자치시 소담동 37-8 ,세종특별자치시 소담1로 12 6층 605 606호 (소담동 지엘플렉스1),,209,10687,철골콘크리트조,일반상업지역,영업중,2017-02-21,2021-08-12,해결,2021-08-12,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2017-000006,타이거태권도(보람관),30150,세종특별자치시 보람동 700-74 네이버타워 ,세종특별자치시 호려울로 9 네이버타워 6층 610~611호 (보람동),277,277,,철골콘크리트조,일반상업지역,영업중,2017-02-28,2019-07-26,해결,2019-10-08,실내,,,1,,Y,태권도,2022-11-30
